time,area_name,lat,lon,rr,hu,qq,tg,tx,tn,fg
2024-11-01,seine_maritime,49.65874437620977,1.0258376765981017,204.81667,87.28668,31.694515,8.236408,10.709088,5.90916,3.4556706
2024-12-01,seine_maritime,49.65874437620977,1.0258376765981017,151.85806,88.03755,22.07064,6.3762145,8.347721,4.322213,3.8689911
2000-01-01,seine_et_marne,48.626595955296125,2.922491043165673,61.316128,88.355095,34.781704,3.5025806,6.095771,1.1991736,3.3010426
2000-02-01,seine_et_marne,48.626595955296125,2.922491043165673,196.18275,86.16079,62.576294,6.158809,9.832815,2.964832,4.0572133
2000-03-01,seine_et_marne,48.626595955296125,2.922491043165673,110.564514,78.97766,112.133896,7.1534643,11.785126,3.1460054,3.4791913
2000-04-01,seine_et_marne,48.626595955296125,2.922491043165673,242.34332,78.49938,153.21782,9.839762,14.546948,5.7075253,3.7971964
2000-05-01,seine_et_marne,48.626595955296125,2.922491043165673,183.37097,78.36165,200.80511,15.216442,20.637718,10.4419565,3.1893237
2000-06-01,seine_et_marne,48.626595955296125,2.922491043165673,46.83,72.87655,244.77855,17.368498,23.183025,11.571356,2.7111871
2000-07-01,seine_et_marne,48.626595955296125,2.922491043165673,327.0387,78.450264,191.27794,16.787464,22.203468,12.279809,2.9298189
2000-08-01,seine_et_marne,48.626595955296125,2.922491043165673,108.02904,73.076965,206.34776,19.280685,25.776052,13.488859,2.3614936
2000-09-01,seine_et_marne,48.626595955296125,2.922491043165673,160.85,80.10092,136.5032,16.12479,21.74435,11.61036,2.659694
2000-10-01,seine_et_marne,48.626595955296125,2.922491043165673,270.91614,85.89661,76.581085,11.612307,15.191502,8.720698,3.955696
2000-11-01,seine_et_marne,48.626595955296125,2.922491043165673,275.91333,88.52814,41.01233,7.945187,11.161512,5.447447,4.7496524
2000-12-01,seine_et_marne,48.626595955296125,2.922491043165673,182.26129,87.42093,28.026957,6.971577,9.54471,4.6956563,4.26962
2001-01-01,seine_et_marne,48.626595955296125,2.922491043165673,176.23227,85.78605,33.824566,4.5694566,7.0536366,2.33057,4.4993234
2001-02-01,seine_et_marne,48.626595955296125,2.922491043165673,121.082146,85.3083,60.907536,5.0822353,8.492328,2.218503,3.9661593
2001-03-01,seine_et_marne,48.626595955296125,2.922491043165673,326.68066,85.674286,84.24392,8.4463005,12.278419,5.2568316,4.286553
2001-04-01,seine_et_marne,48.626595955296125,2.922491043165673,225.39333,79.95549,138.83424,8.686757,12.798466,5.099584,4.050676
2001-05-01,seine_et_marne,48.626595955296125,2.922491043165673,93.964516,74.71832,213.77773,15.160499,20.530233,9.901551,2.8769553
2001-06-01,seine_et_marne,48.626595955296125,2.922491043165673,84.09,70.102905,238.03561,16.354195,22.46336,10.163707,2.6177397
2001-07-01,seine_et_marne,48.626595955296125,2.922491043165673,344.64838,75.88996,208.81839,19.196575,25.058147,13.974685,2.8208086
2001-08-01,seine_et_marne,48.626595955296125,2.922491043165673,179.48065,74.27411,193.53557,19.44837,25.675407,14.0949,2.8056824
2001-09-01,seine_et_marne,48.626595955296125,2.922491043165673,262.52667,85.63045,110.43424,13.008676,17.720629,9.108871,2.9912236
2001-10-01,seine_et_marne,48.626595955296125,2.922491043165673,208.59999,87.5856,82.62926,14.429119,19.052574,11.120689,3.1912284
2001-11-01,seine_et_marne,48.626595955296125,2.922491043165673,150.30667,88.99201,46.83288,5.5026255,9.043411,2.3856347,2.9875615
2001-12-01,seine_et_marne,48.626595955296125,2.922491043165673,123.46129,85.75092,33.136986,2.5308394,5.482289,0.14632344,3.6091514
2002-01-01,seine_et_marne,48.626595955296125,2.922491043165673,73.39033,87.033394,37.982327,4.685612,7.6399336,2.2341802,4.050106
2002-02-01,seine_et_marne,48.626595955296125,2.922491043165673,240.40717,80.77702,56.27104,7.548484,10.787152,4.7938256,6.007886
2002-03-01,seine_et_marne,48.626595955296125,2.922491043165673,120.17742,77.76545,120.24613,8.389204,13.4172735,3.9013784,3.3651483
2002-04-01,seine_et_marne,48.626595955296125,2.922491043165673,32.276665,66.34435,187.59955,10.336995,16.479004,4.4751873,3.5626848
2002-05-01,seine_et_marne,48.626595955296125,2.922491043165673,121.55807,78.30553,194.26779,13.243684,18.547012,8.424524,3.3583958
2002-06-01,seine_et_marne,48.626595955296125,2.922491043165673,137.64001,73.90782,233.87077,17.803337,23.776186,12.130863,2.7799678
2002-07-01,seine_et_marne,48.626595955296125,2.922491043165673,94.70645,71.58373,207.88953,18.388762,24.27175,12.913257,3.1720238
2002-08-01,seine_et_marne,48.626595955296125,2.922491043165673,196.62259,78.07011,163.88953,18.357458,24.103659,13.517432,2.4360538
2002-09-01,seine_et_marne,48.626595955296125,2.922491043165673,46.876667,76.139206,147.49133,14.503689,20.609917,9.410095,2.8454475
2002-10-01,seine_et_marne,48.626595955296125,2.922491043165673,180.55162,82.38461,82.50597,11.382912,16.508001,7.1146173,3.6981394
2002-11-01,seine_et_marne,48.626595955296125,2.922491043165673,255.30666,89.922,39.083565,8.537542,11.504105,6.0083466,3.4908721
2002-12-01,seine_et_marne,48.626595955296125,2.922491043165673,172.02258,90.07823,20.930182,6.2634907,8.313566,4.3097568,4.17133
2003-01-01,seine_et_marne,48.626595955296125,2.922491043165673,156.86775,87.450455,37.1551,2.1338663,4.9793067,-0.66323024,4.1539726
2003-02-01,seine_et_marne,48.626595955296125,2.922491043165673,62.360718,77.799416,78.042076,2.748356,6.7739577,-0.5390264,3.2524853
2003-03-01,seine_et_marne,48.626595955296125,2.922491043165673,37.112904,68.315895,147.0548,9.337871,15.4444065,3.766292,3.222103
2003-04-01,seine_et_marne,48.626595955296125,2.922491043165673,104.47333,63.537422,194.68723,10.891644,16.935446,5.267219,3.8162603
2003-05-01,seine_et_marne,48.626595955296125,2.922491043165673,205.89677,77.52086,202.9558,14.195916,19.322096,9.231543,3.0665224
2003-06-01,seine_et_marne,48.626595955296125,2.922491043165673,92.91667,73.84684,253.08904,20.196178,26.165848,14.457886,2.4821413
2003-07-01,seine_et_marne,48.626595955296125,2.922491043165673,118.87742,67.60449,237.40831,20.194365,26.53082,13.856968,2.61441
2003-08-01,seine_et_marne,48.626595955296125,2.922491043165673,79.4,61.974655,224.08484,22.941528,30.391548,15.616353,2.1942067
2003-09-01,seine_et_marne,48.626595955296125,2.922491043165673,42.646667,70.37323,166.72328,15.53315,22.70972,9.14173,2.4100685
2003-10-01,seine_et_marne,48.626595955296125,2.922491043165673,158.83226,83.42983,83.92001,8.924106,13.346249,5.1354966,3.3888242
2003-11-01,seine_et_marne,48.626595955296125,2.922491043165673,113.35333,89.46311,44.036987,7.922237,11.409694,4.8858724,3.3416529
2003-12-01,seine_et_marne,48.626595955296125,2.922491043165673,109.367744,89.159744,30.314627,4.382068,7.1562266,2.0259788,3.791798
